picture_id,Exhibition_Name,Work_Name,Artist_Name
555,,,Wang Chuan
556,,,Wang Chuan
557,,,Wang Chuan
558,,,Wang Chuan
559,,,Wang Chuan
560,,,Wang Chuan
561,,,Wang Chuan
562,,,Wu Shixiong
563,,,Ying Weiping
564,,,Ying Weiping
565,,,Li Jian
566,,,Li Jian
567,,,Li Jian
568,,,Wei Xilin
569,,,Xie Yuxi
570,,,Xie Yuxi
571,,,Xu Jing
572,,,Ye Ling
573,,,Li Yunying
574,,,
575,,,Cao Yong
576,,,Cao Yong
577,,,Cao Yong
578,,,Cao Yong
579,,,Cao Yong
580,,,Cao Yong
581,,,Yang Shufeng
582,,,Yang Shufeng
583,,,Yang Shufeng
584,,,Yang Shufeng
585,,,Yang Shufeng
586,,,Yang Shufeng
587,,,Yang Shufeng
588,,,Yang Shufeng
589,,,Liu Zheng
590,,,Huang Yulan
591,,,Huang Yulan
592,,,Fu Qiang
593,,,Fu Qiang
594,,,Shi Dan
595,,,Hu Shaquan
596,,,Wen Dusu
597,,,Zhou Yu
598,,,
599,,,Chen Yuzhu
600,,,Chen Yuzhu
601,,,Chen Yuzhu
602,,,Chen Yuzhu
603,,,Li Yanping
604,,,Li Yanping
605,,,Li Yanping
606,,,Li Yanping
607,,,Li Yanping
608,,,Li Yanping
609,,,Li Yanping
610,,,Li Zhibao
611,,,Li Zhibao
612,,,Qi Yong
613,,,Qi Yong
614,,,Yu Xiaodong
615,,,Yu Xiaodong
616,,,Zhai Yaofei
617,,,Zhai Yaofei
618,,,Zhai Yaofei
619,,,Wang Linfa
620,,,Dai Guangyu
621,,,Huangpu Qiren
622,,,Jian Chongmin
623,,,Li Jixiang
624,,,Luo Lunjian
625,,,Xu Dachen
626,,,
627,,,
628,,,Duan Xiu Cang
629,,,Duan Xiu Cang
630,,,Duan Xiu Cang
631,,,Wang Huanqing
632,,,Wang Huanqing
633,,,Wang Huanqing
634,,,Wang Huanqing
635,,,Qiao Xiaoguang
636,,,Qiao Xiaoguang
637,,,Qiao Xiaoguang
638,,,Qiao Xiaoguang
639,,,
640,,,
641,,,
642,,,
643,,,
644,,,
645,,,
646,,,
647,,,
648,,,
649,,,Zhu Yanguang
650,,,Zhu Yanguang
651,,,Zhu Yanguang
652,,,Ren Xiaoyin
653,,,Ren Xiaoyin
654,,,Ren Xiaoyin
655,,,Chen Yufei
656,,,Fu Qiang
657,,,Huang Weidong
658,,,Liu Yifu
659,,,Lu Jinbo
660,,,Shi Xiangqiang
661,,,Wang Jianhua
662,,,Wang Jin
663,,,Wang Shouming
664,,,Wang Shouming
665,,,Xie Haitao
666,,,Xie Haitao
667,,,Yang Guoxin
668,,,Zhang Quan
669,,,Zhu Mo
670,,,Zhuang Wei
671,,,He Yonghong
672,,,Li Ling
673,,,Li Xiangqun
674,,,Liu Qingmin
675,,,Shi Xiao
676,,,Song Xiaomin
677,,,Wan Guohua
678,,,Tong Jianyin
679,,,Tong Jianyin
680,,,Tong Jianyin
681,,,Zhao Shuli
682,,,Luo Mingjun
683,,,Jiang Shangwen
684,,,Huang Bing
685,,,Huang Bing
686,,,Liu Yun
687,,,Liu Xiangdong
688,,,Yuan Xiaoyan
689,,,Ma Jianxin
690,,,Ma Jianxin
691,,,Ma Jianxin
692,,,Shu Lei
693,,,Yuan Qingyi
694,,,Li Luming
695,,,Li Luming
696,,,Tan Liqin
697,,,Tan Liqin
698,,,
699,,,Huang Yali
700,,,Huang Yali
701,,,Huang Yali
702,,,Huang Yali
703,,,Fu Zhongwang
704,,,Liu Zijian
705,,,Wu Guoquan
706,,,Wu Guoquan
707,,,Wu Guoquan
708,,,Wu Guoquan
709,,,Wu Guoquan
710,,,
711,,,
712,,,
713,,,
714,,,
715,,,
716,,,
717,,,Wei Guangqing
718,,,Wei Guangqing
719,,,Cao Dan
720,,,Cao Dan
721,,,Mao Chunyi
722,,,Tian Hui
723,,,Tian Hui
724,,,Li Yaobang
725,,,Li Yaobang
726,,,Fang Shaohua
727,,,Guo Zhengshan
728,,,Guo Zhengshan
729,,,Xie Yao
730,,,Fan Hancheng
731,,,Dong Jining
732,,,
733,,,Sun Shaoqun
734,,,Gao Minfeng
735,,,Gao Minfeng
736,,,Xiao Feng
737,,,Xiao Feng
738,,,Wang Xianglin
739,,,
740,,,Hu Chaoyang 
741,,,Lin Wei
742,,,Qiu Xiu
743,,,Ye Jun
744,,,Huang Bangxiong
745,,,
746,,,
747,,,Ji Houming
748,,,Chen Lvshou
749,,,Luo Yin
750,,,Luo Yin
751,,,
752,,,
753,,,
754,,,
755,,,
756,,,
757,,,Huang Yongping
758,,,Huang Yongping
759,,,Huang Yongping
760,,,Huang Yongping
761,,,
762,,,Huang Yongping
763,,,
764,,,
765,,,
766,,,
767,,,
768,,,
769,,,
770,,,
771,,,
772,,,
773,,,Huang Yongping
774,,,Huang Yongping
775,,,Huang Yongping
776,,,Huang Yongping
777,,,Huang Yongping
778,,,Huang Yongping
779,,,Lin Chun
780,,,Lin Chun
781,,,Lin Chun
782,,,Jiao Yaoming
783,,,
784,,,Sun Baoguo
785,,,Sun Baoguo
786,,,Sun Baoguo
787,,,Sun Baoguo
788,,,Sun Baoguo
789,,,Sun Baoguo
790,,,Wang Yibo
791,,,Zhang Suojia
792,,,Zhang Suojia
793,,,Zhao Haibo
794,,,Zhu Wei
795,,,Zhu Wei
796,,,Zhu Wei
797,,,
798,,,
799,,,
800,,,
801,,,
802,,,
803,,,
804,,,
805,,,
806,,,
807,,"No Title, No.1",Song Yongping
808,,"No Title, No.2",Song Yongping
809,,"No Title, No.3",Song Yongping
810,,"No Title, No.1",Wang Yazhong
811,,"No Title, No.2",Wang Yazhong
812,,No Title,Zhang Jianzhong
813,,Northern Su,Qu Yan
814,,Station,Qu Yan
815,,"No Title, No.1",Qu Yan
816,,"No Title, No.2",Qu Yan
817,,"No Title, No.1",Wang Jiping
818,,"No Title, No.2",Wang Jiping
819,,"No Title, No.3",Wang Jiping
820,,"No Title, No.4",Wang Jiping
821,,"No Title, No.5",Wang Jiping
822,,,"Song Yongping,Song Yonghong"
823,,,"Song Yongping,Song Yonghong"
824,,,"Song Yongping,Song Yonghong"
825,,,"Song Yongping,Song Yonghong"
826,,,"Song Yongping,Song Yonghong"
827,,,"Song Yongping,Song Yonghong"
828,,,"Song Yongping,Song Yonghong"
829,,,"Song Yongping,Song Yonghong"
830,,,"Song Yongping,Song Yonghong"
831,,,
832,,,
833,,,
834,,,
835,,,
836,,,
837,,,
838,,,
839,,,
840,,,
841,,,
842,,,
843,,,
844,,,
845,,,
846,,,
847,,,
848,,,
849,,,
850,,,
851,,,
852,,,
853,,,
854,,,
855,,,
856,,,
857,,,
858,,,
859,,,
860,,,
861,,,
862,,,
863,,,
864,,,
865,,,
866,,,
867,,,
868,,,
869,,,
870,,,
871,,,
872,,,
873,,,
874,,,
875,,,
876,,,
877,,,
878,,,
879,,,
880,,,
881,,,
882,,,
883,,,
884,,,
885,,,
886,,,
887,,,
888,,,
889,,,
890,,,
891,,,
892,,,
893,,,
894,,,
895,,,
