158,"Chai Xiaogang, Moment of Hallucination, oil on canvas, 1986",Work,,Moment of Hallucination,,Chai Xiaogang,,1986,179
159,Chai Xiaogang,Work,,Fish in Air,,Chai Xiaogang,,1986,179
160,Chai Xiaogang,Work,,Not a Strange Promise,,Chai Xiaogang,,1986,180
161,Chai Xiaogang,Work,,Scream--Yearning and Today's Calling,,Chai Xiaogang,,1986,180
162,Guan Ce,Work,,No Title,,Guan Ce,,1985,181
163,Guan Ce,Work,,Shadow on Paper,,Guan Ce,,1986,181
164,Guan Ce,Work,,Indoor Landscape,,Guan Ce,,1986,182
165,Cao Xiaodong,Work,,Thus the Thing was finished 3,,Cao Xiaodong,,1986,182
166,Cao Xiaodong,Work,,Thus the Thing was finished 4,,Cao Xiaodong,,1986,183
167,Cao Xiaodong,Work,,Thus the Thing was finished 5,,Cao Xiaodong,,1986,183
168,Cao Xiaodong,Work,,Thus the Thing was finished 6,,Cao Xiaodong,,1986,184
169,Xu Yihui,Work,,Way,,Xu Yihui,,1986,184
170,Xu Yihui,Work,,Sea,,Xu Yihui,,1986,185
171,Xu Yihui,Work,,Dinner 1,,Xu Yihui,,1986,185
172,Li Xiaobai,Work,,Black Oblivion,,Li Xiaobai,,1986,186
173,Wu Guangrong,Work,,Soul Under the Moonlight,,Wu Guangrong,,1986,186
174,Hong Lei,Work,,Autumn,,Hong Lei,,1986,187
175,Wu Weishan,Work,,Dog and Sky,,Wu Weishan,,1986,187
176,Wu Xiaojun,Work,,Wind on Plain,,Wu Xiaojun,,1986,188
177,Song Ansu,Work,,Work 1,,Song Ansu,,1986,188
178,Xin Shenhua,Work,,Dialoge,,Xin Shenhua,,1986,189
179,Song Ansu,Work,,Work 2,,Song Ansu,,1986,189
180,Yu Shaoping,Work,,Work 1,,Yu Shaoping,,1986,190
181,Yu Shaoping,Work,,Work 2,,Yu Shaoping,,1986,190
182,Yu Shaoping,Work,,Work 3,,Yu Shaoping,,1986,191
183,Yu Bang,Work,,Work 1,,Yu Bang,,1985,191
184,Yu Bang,Work,,Work 2,,Yu Bang,,1985,192
185,Liu Guofu,Work,,Return,,Liu Guofu,,1986,192
186,Lv Tao,Work,,Changing Eternity,,Lv Tao,,1986,193
187,Zhang Peili,,,Swimmers in Summer,,Zhang Peili,,1985,194
188,Zhang Peili,,,Pause,,Zhang Peili,,1985,194
189,Zhang Peili,,,Swimmers ,,Zhang Peili,,1985,195
190,Zhang Peili,,,Abstract 223,,Zhang Peili,,1985,195
191,Zhang Peili,,,Abstract 230,,Zhang Peili,,1985,196
192,Zhang Peili,,,Abstract 334,,Geng Jianli,,1985,196
193,Geng Jianli,,,Haircut 4--Fashinable Style in Summer in 1985,,Song Lin,,1985,197
194,Song Lin,,,White Pipe,,Song Lin,,1985,197
195,Song Lin,,,People Pipe 2,,Song Lin,,1985,198
196,Song Lin,,,Silent Dialogue,,Song Lin,,1985,198
197,Song Lin,,,No Title,,Bao Jianfei,,1985,199
198,Bao Jianfei,,,New Space No.1,,Bao Jianfei,,1985,199
199,Bao Jianfei,,,New Space No.2,,Bao Jianfei,,1985,200
200,Bao Jianfei,,,New Space No.3,,Wang Qiang,,1985,200
201,Wang Qiang,,,Amateur Painter,,Wang Qiang,,1985,201
202,Wang Qiang,,,Walking Man,,Cha Li,,1985,201
203,Cha Li,,,Painting No.1,,Cha Li,,1985,202
204,Cha Li,,,Painting No.2,,Xu Jin,,1985,202
205,Xu Jin,,,Dialogue,,Xu Jin,,1985,203
206,Xu Jin,,,Introspection,,Cao Xuelei,,1985,203
207,Cao Xuelei,,,Decline to Perspective,,Wang Guojun,,1985,204
208,Wang Guojun,,,No Title No.7,,Wang Guojun,,1985,204
209,Wang Guojun,,,No Title No.12,,Zhang Peili,,1985,205
210,"Zhang Peili,About ""x?"",1985",,,"About ""x?""",,Zhang Peili,,1985,205
211,"Zhang Peili,About ""x?"",1985",,,"About ""x?""",,Zhang Peili,,1985,206
212,Zhang Peili,,,Brown Book No.1,Performance,Zhang Peili,,1988,206
213,Zhang Peili,,,Brown Book No.1,Performance,Zhang Peili,,1988,207
214,Zhang Peili,,,Brown Book No.1,Performance,,,1988,207
215,,,,,,Feng Lianghong ,,????,208
216,Yu Youhan,,,,,Xiao Gu,,?Ê??,208
217,Feng Lianghong ,,,,,Gong Jianqing,,1985,209
218,Xiao Gu,,,,,Gong Jianqing,,1985,209
219,Gong Jianqing,,,Copy of Iron Scrap ,,Gong Jianqing,,1985,210
220,Gong Jianqing,,,Halley,,Gong Jianqing,,1985,210
221,Gong Jianqing,,,Another Judgement,,Wang Xiaojun,,1985,211
222,Gong Jianqing,,,Reverie,,Wang Xiaojun,,1985,211
223,Wang Xiaojun,,,Breeze,,Wang Xiaojun,,1985,212
224,Wang Xiaojun,,,tear the sky,,Wang Xiaojun,,1985,212
225,Wang Xiaojun,,,,,Yang Hui,,1984,213
226,Wang Xiaojun,,,,,Yang Hui,,1985,213
227,Yang Hui,,,,,Yang Hui,,1985,214
228,Yang Hui,,,,,Zhou Shilong,,1985,214
229,Yang Hui,,,,,Zhou Shilong,,1985,215
230,Zhou Shilong,,,,,Zhou Shilong,,1983,215
231,Zhou Shilong,Document,,,,,,1985,216
232,Zhou Shilong,Document,,,,,,1983,216
233,,Document,,,,,,,217
234,,Document,,,,,,,217
235,,Document,,,,,,,218
236,,Document,,,,,,,218
237,,Document,,,,,,,219
238,,Document,,,,,,,219
239,,Document,,,,,,,220
240,,Document,,,,,,,220
241,,Document,,,,,,,221
242,,Document,,,,,,,221
243,Jian Jun,Document,,,,,,1986,222
244,"Concave Ð Convex Exhibition Post, 1986",Work,,,,,,1986,222
245,"Concave Ð Convex Exhibition Post, 1986",Work,,,,,,1986,223
246,Yu Sen,Work,,Mask No.2,Sculpture,Yu Sen,,1985,223
247,Zhang Jieming,Work,,With Portrait...,,Zhang Jieming,,1985,224
248,Zhang Jieming,Work,,With Portrait...,,Zhang Jieming,,1985,224
249,Zhang Jieming,Work,,No.2  ,,Zhang Jieming,,1985,225
